Literal value,Placeholder PID
production of https://rdf.ng-london.org.uk/raphael/resource/RRR_1937.1.26,F362-5SQD-DVNB-446L
support material of https://rdf.ng-london.org.uk/raphael/resource/RRR_1937.1.26,SHCG-MGWD-5PKL-05K6
support material of https://rdf.ng-london.org.uk/raphael/resource/NG213,H150-PYAK-1GCX-L8PT
medium of https://rdf.ng-london.org.uk/raphael/resource/NG213,Q265-FCBS-FZGC-ME41
production of https://rdf.ng-london.org.uk/raphael/resource/NG213,GCMQ-LZU7-S7BB-E0J8
height of https://rdf.ng-london.org.uk/raphael/resource/NG213,43X9-LE0S-1NCI-50QJ
title of https://rdf.ng-london.org.uk/raphael/resource/NG213,AOQX-8L67-R1Y6-MUYB
short title of https://rdf.ng-london.org.uk/raphael/resource/NG213,9QY3-SKJ8-OZOM-6J3F
width of https://rdf.ng-london.org.uk/raphael/resource/NG213,EUQC-7F7B-6DDO-DZK6
acquisition of https://rdf.ng-london.org.uk/raphael/resource/NG213,GYIO-ZY20-M3BY-UDIT
support material of https://rdf.ng-london.org.uk/raphael/resource/NG2069,GZPG-FNRJ-XM5W-YUTU
medium of https://rdf.ng-london.org.uk/raphael/resource/NG2069,5FC8-AGV2-K1DK-TEG3
short title of https://rdf.ng-london.org.uk/raphael/resource/NG2069,GLUB-9FD0-BJWT-FYSM
acquisition of https://rdf.ng-london.org.uk/raphael/resource/NG2069,AU41-YYCH-X93Y-ARSY
title of https://rdf.ng-london.org.uk/raphael/resource/NG2069,2NCH-NQFF-X8ZG-AU84
width of https://rdf.ng-london.org.uk/raphael/resource/NG2069,M1N9-RDOY-VDXA-WOLC
production of https://rdf.ng-london.org.uk/raphael/resource/NG2069,GX5Z-55HD-B97Q-1CLG
height of https://rdf.ng-london.org.uk/raphael/resource/NG2069,M2K8-2X9N-HE47-AJKE
production of https://rdf.ng-london.org.uk/raphael/resource/NG27,3ESH-YYV6-PMYC-4BVP
medium of https://rdf.ng-london.org.uk/raphael/resource/NG27,AI9P-2915-074G-R5UE
support material of https://rdf.ng-london.org.uk/raphael/resource/NG27,SRS3-FOSN-HEID-PXRQ
short title of https://rdf.ng-london.org.uk/raphael/resource/NG27,GU9O-8H5F-6SEM-BBF3
title of https://rdf.ng-london.org.uk/raphael/resource/NG27,Y6P6-37WF-S6CU-8JOJ
height of https://rdf.ng-london.org.uk/raphael/resource/NG27,OPVP-KUKU-9E4G-UUJG
acquisition of https://rdf.ng-london.org.uk/raphael/resource/NG27,LUSH-53K9-IOXV-OT1B
width of https://rdf.ng-london.org.uk/raphael/resource/NG27,002L-ISHF-VN8T-95V9
width of https://rdf.ng-london.org.uk/raphael/resource/NG2919,P1N2-BVXI-E37I-GZPN
short title of https://rdf.ng-london.org.uk/raphael/resource/NG2919,1ZWT-XN5W-Y7EE-468E
support material of https://rdf.ng-london.org.uk/raphael/resource/NG2919,OTR5-6YND-X16O-1X92
medium of https://rdf.ng-london.org.uk/raphael/resource/NG2919,WE0Z-7DLX-6Q9Y-K2GB
height of https://rdf.ng-london.org.uk/raphael/resource/NG2919,Z64M-AFAA-5C72-94FQ
title of https://rdf.ng-london.org.uk/raphael/resource/NG2919,AAME-RNZE-S5HL-QAKX
production of https://rdf.ng-london.org.uk/raphael/resource/NG2919,7YGF-D85T-RSRS-36U2
acquisition of https://rdf.ng-london.org.uk/raphael/resource/NG2919,A1OJ-7CHU-IMWH-559T
https://rdf.ng-london.org.uk/raphael/resource/NGL065.46,EEKJ-BHKR-LWDF-KX3C
title of https://rdf.ng-london.org.uk/raphael/resource/NGL065.46,9D8Z-XJ0U-5KYG-87W4
height of https://rdf.ng-london.org.uk/raphael/resource/NGL065.46,WB9F-T1RJ-PTUQ-42KK
medium of https://rdf.ng-london.org.uk/raphael/resource/NGL065.46,X2QX-J6LC-F717-IK4B
support material of https://rdf.ng-london.org.uk/raphael/resource/NGL065.46,31FG-KOM4-6570-NQLH
production of https://rdf.ng-london.org.uk/raphael/resource/NGL065.46,RTWN-A2YA-08VT-B4Y2
width of https://rdf.ng-london.org.uk/raphael/resource/NGL065.46,V2TG-QFY3-T2CV-PYGF
short title of https://rdf.ng-london.org.uk/raphael/resource/NGL065.46,87QJ-CWWO-7MZI-842X
acquisition of https://rdf.ng-london.org.uk/raphael/resource/NG744,VA83-CM5N-43LS-87KZ
support material of https://rdf.ng-london.org.uk/raphael/resource/NG744,WN3W-BSTD-RLRQ-8OJU
title of https://rdf.ng-london.org.uk/raphael/resource/NG744,6QH4-L6CL-92EA-XUAF
